seed,fold,scope,kind,alpha_WM,alpha_FI,lambda_amp,lambda_prior,restart,final_loss,steps,converged,chosen
3939,0,C0_la0.1_lp0.0_if0,MT,,,0.1,0.0,0,0.0948931456119092,903,True,False
3939,0,C0_la0.1_lp0.0_if0,MT,,,0.1,0.0,1,0.08595165035040339,526,True,True
3939,0,C0_la0.1_lp0.0_if1,MT,,,0.1,0.0,0,0.10128158265777124,856,True,False
3939,0,C0_la0.1_lp0.0_if1,MT,,,0.1,0.0,1,0.09283562478182865,713,True,True
3939,0,C0_la0.1_lp0.0_if2,MT,,,0.1,0.0,0,0.10770163830836929,366,True,False
3939,0,C0_la0.1_lp0.0_if2,MT,,,0.1,0.0,1,0.09203692248517079,336,True,True
3939,0,C0_la1.0_lp0.0_if0,MT,,,1.0,0.0,0,0.5507424015783569,200,True,False
3939,0,C0_la1.0_lp0.0_if0,MT,,,1.0,0.0,1,0.4634478076437918,851,True,True
3939,0,C0_la1.0_lp0.0_if1,MT,,,1.0,0.0,0,0.4848448511586965,812,True,True
3939,0,C0_la1.0_lp0.0_if1,MT,,,1.0,0.0,1,0.5886726195687868,332,True,False
3939,0,C0_la1.0_lp0.0_if2,MT,,,1.0,0.0,0,0.5392831835625189,364,True,False
3939,0,C0_la1.0_lp0.0_if2,MT,,,1.0,0.0,1,0.5063005362788867,578,True,True
3939,0,C0_la10.0_lp0.0_if0,MT,,,10.0,0.0,0,1.2068063242383575,285,True,True
3939,0,C0_la10.0_lp0.0_if0,MT,,,10.0,0.0,1,1.2295962841573957,383,True,False
3939,0,C0_la10.0_lp0.0_if1,MT,,,10.0,0.0,0,1.2479631788370178,408,True,False
3939,0,C0_la10.0_lp0.0_if1,MT,,,10.0,0.0,1,1.193926226431855,275,True,True
3939,0,C0_la10.0_lp0.0_if2,MT,,,10.0,0.0,0,1.3137371428085263,227,True,False
3939,0,C0_la10.0_lp0.0_if2,MT,,,10.0,0.0,1,1.276916264140623,295,True,True
3939,0,C1_la0.1_lp0.01_if0,MT,,,0.1,0.01,0,0.14870463404623951,888,True,False
3939,0,C1_la0.1_lp0.01_if0,MT,,,0.1,0.01,1,0.13576802262642249,1213,True,True
3939,0,C1_la0.1_lp0.01_if1,MT,,,0.1,0.01,0,0.14868991060519554,761,True,False
3939,0,C1_la0.1_lp0.01_if1,MT,,,0.1,0.01,1,0.13989631740218075,1500,False,True
3939,0,C1_la0.1_lp0.01_if2,MT,,,0.1,0.01,0,0.1444677267712612,1087,True,False
3939,0,C1_la0.1_lp0.01_if2,MT,,,0.1,0.01,1,0.14023265517315942,1329,True,True
3939,0,C1_la0.1_lp0.1_if0,MT,,,0.1,0.1,0,0.51809837637513,416,True,True
3939,0,C1_la0.1_lp0.1_if0,MT,,,0.1,0.1,1,0.5394156813881265,275,True,False
3939,0,C1_la0.1_lp0.1_if1,MT,,,0.1,0.1,0,0.503346405236796,752,True,False
3939,0,C1_la0.1_lp0.1_if1,MT,,,0.1,0.1,1,0.5006449547142611,937,True,True
3939,0,C1_la0.1_lp0.1_if2,MT,,,0.1,0.1,0,0.501663961918676,1500,False,True
3939,0,C1_la0.1_lp0.1_if2,MT,,,0.1,0.1,1,0.5268857414094061,904,True,False
3939,0,C1_la0.1_lp1.0_if0,MT,,,0.1,1.0,0,6.905648102938989,200,True,True
3939,0,C1_la0.1_lp1.0_if0,MT,,,0.1,1.0,1,12.455936526903853,200,True,False
3939,0,C1_la0.1_lp1.0_if1,MT,,,0.1,1.0,0,6.923115407733395,200,True,True
3939,0,C1_la0.1_lp1.0_if1,MT,,,0.1,1.0,1,13.173218633207568,200,True,False
3939,0,C1_la0.1_lp1.0_if2,MT,,,0.1,1.0,0,6.708573935446674,200,True,True
3939,0,C1_la0.1_lp1.0_if2,MT,,,0.1,1.0,1,13.212083239310436,200,True,False
3939,0,C1_la1.0_lp0.01_if0,MT,,,1.0,0.01,0,0.6109063495623202,246,True,False
3939,0,C1_la1.0_lp0.01_if0,MT,,,1.0,0.01,1,0.5365819301781918,478,True,True
3939,0,C1_la1.0_lp0.01_if1,MT,,,1.0,0.01,0,0.5935490484387523,395,True,False
3939,0,C1_la1.0_lp0.01_if1,MT,,,1.0,0.01,1,0.5886746842999265,712,True,True
3939,0,C1_la1.0_lp0.01_if2,MT,,,1.0,0.01,0,0.6466820262306345,309,True,False
3939,0,C1_la1.0_lp0.01_if2,MT,,,1.0,0.01,1,0.6181357743337522,603,True,True
3939,0,C1_la1.0_lp0.1_if0,MT,,,1.0,0.1,0,0.9631649646770206,265,True,False
3939,0,C1_la1.0_lp0.1_if0,MT,,,1.0,0.1,1,0.9488082232743424,569,True,True
3939,0,C1_la1.0_lp0.1_if1,MT,,,1.0,0.1,0,0.9613294382200253,457,True,True
3939,0,C1_la1.0_lp0.1_if1,MT,,,1.0,0.1,1,0.9840709490929549,415,True,False
3939,0,C1_la1.0_lp0.1_if2,MT,,,1.0,0.1,0,1.0084176695182796,442,True,True
3939,0,C1_la1.0_lp0.1_if2,MT,,,1.0,0.1,1,1.0254387279726775,458,True,False
3939,0,C1_la1.0_lp1.0_if0,MT,,,1.0,1.0,0,7.620869022076133,200,True,True
3939,0,C1_la1.0_lp1.0_if0,MT,,,1.0,1.0,1,12.835310629150873,200,True,False
3939,0,C1_la1.0_lp1.0_if1,MT,,,1.0,1.0,0,7.854879809199425,200,True,True
3939,0,C1_la1.0_lp1.0_if1,MT,,,1.0,1.0,1,13.129327096832135,200,True,False
3939,0,C1_la1.0_lp1.0_if2,MT,,,1.0,1.0,0,7.749029937424668,200,True,True
3939,0,C1_la1.0_lp1.0_if2,MT,,,1.0,1.0,1,13.432252072709586,200,True,False
3939,0,C1_la10.0_lp0.01_if0,MT,,,10.0,0.01,0,1.3541138292571806,200,True,False
3939,0,C1_la10.0_lp0.01_if0,MT,,,10.0,0.01,1,1.3229817088473645,277,True,True
3939,0,C1_la10.0_lp0.01_if1,MT,,,10.0,0.01,0,1.308621636473067,515,True,False
3939,0,C1_la10.0_lp0.01_if1,MT,,,10.0,0.01,1,1.3025639276617682,317,True,True
3939,0,C1_la10.0_lp0.01_if2,MT,,,10.0,0.01,0,1.331538048540509,442,True,False
3939,0,C1_la10.0_lp0.01_if2,MT,,,10.0,0.01,1,1.33006516085066,318,True,True
3939,0,C1_la10.0_lp0.1_if0,MT,,,10.0,0.1,0,1.7717094184646573,496,True,True
3939,0,C1_la10.0_lp0.1_if0,MT,,,10.0,0.1,1,1.8780331024254064,200,True,False
3939,0,C1_la10.0_lp0.1_if1,MT,,,10.0,0.1,0,1.656949873660654,633,True,True
3939,0,C1_la10.0_lp0.1_if1,MT,,,10.0,0.1,1,1.759005843408297,322,True,False
3939,0,C1_la10.0_lp0.1_if2,MT,,,10.0,0.1,0,1.7504724635614155,234,True,True
3939,0,C1_la10.0_lp0.1_if2,MT,,,10.0,0.1,1,1.760315533577519,260,True,False
3939,0,C1_la10.0_lp1.0_if0,MT,,,10.0,1.0,0,8.517318512621431,200,True,True
3939,0,C1_la10.0_lp1.0_if0,MT,,,10.0,1.0,1,15.177016281738014,200,True,False
3939,0,C1_la10.0_lp1.0_if1,MT,,,10.0,1.0,0,8.528984808458457,200,True,True
3939,0,C1_la10.0_lp1.0_if1,MT,,,10.0,1.0,1,15.173747818629458,200,True,False
3939,0,C1_la10.0_lp1.0_if2,MT,,,10.0,1.0,0,8.528252624777592,200,True,True
3939,0,C1_la10.0_lp1.0_if2,MT,,,10.0,1.0,1,15.125910999986575,200,True,False
3939,0,C2_la0.1_lp0.01_if0,MT,,,0.1,0.01,0,0.1655299652050124,1080,True,False
3939,0,C2_la0.1_lp0.01_if0,MT,,,0.1,0.01,1,0.1404096711729966,1104,True,True
3939,0,C2_la0.1_lp0.01_if1,MT,,,0.1,0.01,0,0.1562391256234288,452,True,False
3939,0,C2_la0.1_lp0.01_if1,MT,,,0.1,0.01,1,0.1526876392078411,1261,True,True
3939,0,C2_la0.1_lp0.01_if2,MT,,,0.1,0.01,0,0.14441947427082102,1450,True,False
3939,0,C2_la0.1_lp0.01_if2,MT,,,0.1,0.01,1,0.1343999255141812,1500,False,True
3939,0,C2_la0.1_lp0.1_if0,MT,,,0.1,0.1,0,0.5166457475110149,303,True,False
3939,0,C2_la0.1_lp0.1_if0,MT,,,0.1,0.1,1,0.47764239870140346,1098,True,True
3939,0,C2_la0.1_lp0.1_if1,MT,,,0.1,0.1,0,0.5130603822277412,847,True,True
3939,0,C2_la0.1_lp0.1_if1,MT,,,0.1,0.1,1,0.514299308934153,563,True,False
3939,0,C2_la0.1_lp0.1_if2,MT,,,0.1,0.1,0,0.5086721036091042,1199,True,True
3939,0,C2_la0.1_lp0.1_if2,MT,,,0.1,0.1,1,0.5154952658518612,1500,False,False
3939,0,C2_la0.1_lp1.0_if0,MT,,,0.1,1.0,0,6.706841198821551,200,True,True
3939,0,C2_la0.1_lp1.0_if0,MT,,,0.1,1.0,1,11.546138498547279,200,True,False
3939,0,C2_la0.1_lp1.0_if1,MT,,,0.1,1.0,0,6.688602916447359,200,True,True
3939,0,C2_la0.1_lp1.0_if1,MT,,,0.1,1.0,1,12.4881109780379,200,True,False
3939,0,C2_la0.1_lp1.0_if2,MT,,,0.1,1.0,0,6.543669871520468,200,True,True
3939,0,C2_la0.1_lp1.0_if2,MT,,,0.1,1.0,1,12.625380782342434,200,True,False
3939,0,C2_la1.0_lp0.01_if0,MT,,,1.0,0.01,0,0.600318582342249,260,True,False
3939,0,C2_la1.0_lp0.01_if0,MT,,,1.0,0.01,1,0.5516784071704574,822,True,True
