target,model,size_label,n_requested,r_mean,r_std,n_eff_mean,n_runs
FI,A0,n250,250,0.31893496120163184,0.03456534352124502,250.0,15
FI,A0,n300,300,0.34060287839365766,0.018320558285507438,300.0,15
FI,A0,n350,350,0.309403267152736,0.014836771137953049,350.0,15
FI,A0,full_T412,329,0.3560769970865783,0.011475510426511478,329.6,5
FI,A0,full_TB,427,0.33639230685358024,0.01671956176910363,427.6,5
FI,B1,n250,250,0.22995880757940015,0.05483157297290944,250.0,15
FI,B1,n300,300,0.25323654556098646,0.026124241181143395,300.0,15
FI,B1,n350,350,0.24984288920744685,0.02810661043548822,350.0,15
FI,B1,full_T412,329,0.3495809402033242,0.009856990500490045,329.6,5
FI,B1,full_TB,427,0.3322644783581982,0.019508256434914755,427.6,5
WM,A0,n250,250,0.24323901317651497,0.026067931180981854,250.0,15
WM,A0,n300,300,0.2564343913966138,0.03525925906745356,300.0,15
WM,A0,n350,350,0.22485838990420964,0.04694025407447296,350.0,15
WM,A0,full_T412,329,0.263544450235855,0.029879966356855827,329.6,5
WM,A0,full_TB,427,0.2676961787725233,0.020774718767034222,427.6,5
WM,B1,n250,250,0.2036296440852921,0.022529817398166323,250.0,15
WM,B1,n300,300,0.2462241710428509,0.03655902177609996,300.0,15
WM,B1,n350,350,0.17976231440826174,0.052012797012686865,350.0,15
WM,B1,full_T412,329,0.26538495677917495,0.04185892935117221,329.6,5
WM,B1,full_TB,427,0.27331997763461946,0.015022972484112503,427.6,5
