roi_index,prior_score
1,0.4838709677419354
2,0.1505376344086021
3,0.3763440860215053
4,0.9247311827956988
5,0.8817204301075268
6,0.978494623655914
7,0.2150537634408602
8,0.2150537634408602
9,0.3010752688172043
10,0.7204301075268817
11,0.021505376344086
12,1.0
13,0.3548387096774194
14,0.2365591397849462
15,0.1290322580645161
16,0.7526881720430106
17,0.5591397849462365
18,0.1075268817204301
19,0.2150537634408602
20,0.1720430107526881
21,0.2580645161290322
22,0.043010752688172
23,0.032258064516129
24,0.3010752688172043
25,0.1075268817204301
26,0.2150537634408602
27,0.043010752688172
28,0.7741935483870968
29,0.064516129032258
30,0.032258064516129
31,0.021505376344086
32,0.5376344086021505
33,0.1075268817204301
34,0.3548387096774194
35,0.4301075268817204
36,0.021505376344086
37,0.4516129032258064
38,0.4516129032258064
39,0.4731182795698924
40,0.3010752688172043
41,0.2365591397849462
42,0.053763440860215
43,0.1290322580645161
44,0.2365591397849462
45,0.5913978494623656
46,0.086021505376344
47,0.053763440860215
48,0.032258064516129
49,0.4301075268817204
50,0.086021505376344
51,0.7741935483870968
52,0.2150537634408602
53,0.3010752688172043
54,0.1290322580645161
55,0.043010752688172
56,0.1290322580645161
57,0.3440860215053763
58,0.2795698924731182
59,0.5161290322580645
60,0.1075268817204301
61,0.0
62,0.021505376344086
63,0.8924731182795698
64,0.1720430107526881
65,0.0
66,0.053763440860215
67,0.5376344086021505
68,0.1075268817204301
69,0.2795698924731182
70,0.1290322580645161
71,0.1720430107526881
72,0.956989247311828
73,0.4086021505376344
74,0.3440860215053763
75,0.3655913978494624
76,0.1075268817204301
77,0.1290322580645161
78,0.1075268817204301
79,0.3870967741935484
80,0.032258064516129
81,0.4086021505376344
82,0.4516129032258064
83,0.021505376344086
84,0.086021505376344
85,0.1935483870967742
86,0.2365591397849462
87,0.3870967741935484
88,0.032258064516129
89,0.5161290322580645
90,0.1935483870967742
91,0.1935483870967742
92,0.1935483870967742
93,0.8064516129032258
94,0.8817204301075268
95,0.5913978494623656
96,0.3548387096774194
97,0.032258064516129
98,0.053763440860215
99,0.1935483870967742
100,0.7849462365591398
101,0.043010752688172
102,0.075268817204301
103,0.043010752688172
104,0.3440860215053763
105,0.3225806451612903
106,0.3548387096774194
107,0.1075268817204301
108,0.064516129032258
109,0.1075268817204301
110,0.086021505376344
111,0.935483870967742
112,0.3010752688172043
113,0.075268817204301
114,0.2580645161290322
115,0.7526881720430106
116,0.3763440860215053
