system_a,system_b,pair_name,n_seeds,median_score,mean_score,std_score,min_score,max_score,normalized_score
VIS,VIS,VIS,0,0.0022425256556369,0.0022425256556369,0.0,0.0022425256556369,0.0022425256556369,0.0358438794500341
VIS,SM,VIS-SM,0,0.0097680097680097,0.0097680097680097,0.0,0.0097680097680097,0.0097680097680097,0.1635268693542011
VIS,DATN,VIS-DATN,0,0.043010752688172,0.043010752688172,0.0,0.043010752688172,0.043010752688172,0.0982629153505542
VIS,LIMBIC,VIS-LIMBIC,0,0.0236998025016457,0.0236998025016457,0.0,0.0236998025016457,0.0236998025016457,0.2618556894339864
VIS,FPN,VIS-FPN,0,0.0100273084144051,0.0100273084144051,0.0,0.0100273084144051,0.0100273084144051,0.1679410162294827
VIS,DMN,VIS-DMN,0,0.0313876088069636,0.0313876088069636,0.0,0.0313876088069636,0.0313876088069636,0.2251037944143994
VIS,VAS,VIS-VAS,0,0.0185754110485293,0.0185754110485293,0.0,0.0185754110485293,0.0185754110485293,0.0200868864245256
VIS,SUBCORTICAL,VIS-SUBCORTICAL,0,0.0125813766366761,0.0125813766366761,0.0,0.0125813766366761,0.0125813766366761,0.5500955518018898
VIS,CEREBELLAR,VIS-CEREBELLAR,0,0.0113434952144629,0.0113434952144629,0.0,0.0113434952144629,0.0113434952144629,0.5218967366893746
SM,SM,SM,0,0.0385890172570713,0.0385890172570713,0.0,0.0385890172570713,0.0385890172570713,0.0658053305873584
SM,DATN,SM-DATN,0,0.1852770885028949,0.1852770885028949,0.0,0.1852770885028949,0.1852770885028949,0.2918223387560087
SM,LIMBIC,SM-LIMBIC,0,0.1020914569301666,0.1020914569301666,0.0,0.1020914569301666,0.1020914569301666,0.1589610982173411
SM,FPN,SM-FPN,0,0.0431945593235915,0.0431945593235915,0.0,0.0431945593235915,0.0431945593235915,0.1227985192986513
SM,DMN,SM-DMN,0,0.1352081610146126,0.1352081610146126,0.0,0.1352081610146126,0.1352081610146126,0.095650591705857
SM,VAS,SM-VAS,0,0.0800171552859725,0.0800171552859725,0.0,0.0800171552859725,0.0800171552859725,0.7294316738206816
SM,SUBCORTICAL,SM-SUBCORTICAL,0,0.0541966993579896,0.0541966993579896,0.0,0.0541966993579896,0.0541966993579896,0.0746460364362537
SM,CEREBELLAR,SM-CEREBELLAR,0,0.0488642870776865,0.0488642870776865,0.0,0.0488642870776865,0.0488642870776865,0.2907321783779475
DATN,DATN,DATN,0,0.8153543762284655,0.8153543762284655,0.0,0.8153543762284655,0.8153543762284655,0.1115229379014857
DATN,LIMBIC,DATN-LIMBIC,0,0.4495317377731528,0.4495317377731528,0.0,0.4495317377731528,0.4495317377731528,0.0656648441768611
DATN,FPN,DATN-FPN,0,0.1901953983119435,0.1901953983119435,0.0,0.1901953983119435,0.1901953983119435,0.4305570964336181
DATN,DMN,DATN-DMN,0,0.5953520638224072,0.5953520638224072,0.0,0.5953520638224072,0.5953520638224072,0.0503645760901213
DATN,VAS,DATN-VAS,0,0.35233360311404,0.35233360311404,0.0,0.35233360311404,0.35233360311404,0.0
DATN,SUBCORTICAL,DATN-SUBCORTICAL,0,0.2386403052375996,0.2386403052375996,0.0,0.2386403052375996,0.2386403052375996,0.2114199638418856
DATN,CEREBELLAR,DATN-CEREBELLAR,0,0.2151604898743295,0.2151604898743295,0.0,0.2151604898743295,0.2151604898743295,1.0
LIMBIC,LIMBIC,LIMBIC,0,0.2395267275600261,0.2395267275600261,0.0,0.2395267275600261,0.2395267275600261,0.400693473257215
LIMBIC,FPN,LIMBIC-FPN,0,0.1048015460086219,0.1048015460086219,0.0,0.1048015460086219,0.1048015460086219,0.0807791651757043
LIMBIC,DMN,LIMBIC-DMN,0,0.3280511372082652,0.3280511372082652,0.0,0.3280511372082652,0.3280511372082652,0.3134588623753692
LIMBIC,VAS,LIMBIC-VAS,0,0.1941430057975322,0.1941430057975322,0.0,0.1941430057975322,0.1941430057975322,0.0501385227675801
